datetime,open,high,low,close,volume
2025-10-09 22:15:00,3981.12,3994.12,3981.12,3987.41,
2025-10-09 22:30:00,3987.41,3989.6,3984.62,3988.52,
2025-10-09 22:45:00,3988.52,3989.59,3986.93,3987.94,
2025-10-09 23:00:00,3987.94,3990.34,3987.88,3987.98,
2025-10-09 23:15:00,3987.97,3996.57,3987.97,3994.15,
2025-10-09 23:30:00,3994.16,3999,3991.85,3998.34,
2025-10-09 23:45:00,3998.33,4000.28,3997.41,4000.27,
2025-10-10 00:00:00,4000.28,4003.35,3997.78,4002.49,
2025-10-10 00:15:00,4002.5,4005.03,4001.9,4004.73,
2025-10-10 00:30:00,4004.73,4005.81,4001.7,4005.8,
2025-10-10 00:45:00,4005.81,4007.09,4004.1,4005.88,
2025-10-10 01:00:00,4005.88,4006.09,3999.85,4001.22,
2025-10-10 01:15:00,4001.22,4001.22,3991.74,3996.3,
2025-10-10 01:30:00,3996.29,3996.29,3984.04,3985.04,
2025-10-10 01:45:00,3985.26,3992.16,3985.25,3985.34,
2025-10-10 02:00:00,3985.33,3990.89,3984.81,3990.05,
2025-10-10 02:15:00,3990.06,3995.44,3990.06,3994.06,
2025-10-10 02:30:00,3994.07,3997.03,3992.37,3993.3,
2025-10-10 02:45:00,3993.31,3994.93,3987.68,3988.79,
2025-10-10 03:00:00,3988.61,3989.09,3982.58,3982.7,
2025-10-10 03:15:00,3982.69,3983.36,3972,3979.81,
2025-10-10 03:30:00,3979.8,3982.36,3973.44,3973.59,
2025-10-10 03:45:00,3973.58,3975.14,3971.39,3971.39,
2025-10-10 04:00:00,3971.32,3973.26,3957.29,3957.36,
2025-10-10 04:15:00,3957.37,3968.13,3957.37,3966.49,
2025-10-10 04:30:00,3966.49,3972,3966.48,3971.6,
2025-10-10 04:45:00,3971.61,3975.36,3971.55,3975.35,
2025-10-10 05:00:00,3975.36,3982.35,3975.36,3980.84,
2025-10-10 05:15:00,3980.84,3985.99,3979.27,3979.57,
2025-10-10 05:30:00,3979.57,3983.56,3973.35,3981.5,
2025-10-10 05:45:00,3981.49,3986.68,3978.04,3980.02,
2025-10-10 06:00:00,3980.02,3981.72,3975.47,3978.77,
2025-10-10 06:15:00,3978.78,3980.01,3975.93,3978.91,
2025-10-10 06:30:00,3978.92,3982.79,3975.75,3979.03,
2025-10-10 06:45:00,3979.02,3980.23,3972,3975.51,
2025-10-10 07:00:00,3975.38,3975.38,3963.38,3966.87,
2025-10-10 07:15:00,3966.86,3973.11,3966.86,3971.39,
2025-10-10 07:30:00,3971.38,3972.79,3968.77,3972.13,
2025-10-10 07:45:00,3972.12,3981.94,3971.85,3977.88,
2025-10-10 08:00:00,3977.89,3995.24,3976,3994.8,
2025-10-10 08:15:00,3994.8,3995.92,3991.1,3992.81,
2025-10-10 08:30:00,3992.81,3998.28,3991.92,3997.79,
2025-10-10 08:45:00,3997.79,4001.49,3997.79,4000.37,
2025-10-10 09:00:00,4000.37,4009.19,3999.48,4009.19,
2025-10-10 09:15:00,4009.18,4009.38,3999.39,4004.8,
2025-10-10 09:30:00,4004.79,4012.39,4000.03,4010.92,
2025-10-10 09:45:00,4010.74,4014.25,4004.05,4004.05,
2025-10-10 10:00:00,4003.92,4004.8,3999.7,3999.7,
2025-10-10 10:15:00,3999.71,4005.77,3998.2,4005.77,
2025-10-10 10:30:00,4005.77,4008.48,4005.76,4007.55,
2025-10-10 10:45:00,4007.54,4008.09,4002.5,4002.5,
2025-10-10 11:00:00,4002.51,4007.11,4002.51,4006.4,
2025-10-10 11:15:00,4006.1,4008.44,4000.83,4005.91,
2025-10-10 11:30:00,4005.92,4007.66,4000.53,4001.12,
2025-10-10 11:45:00,4001.11,4002.46,3992.14,3994.26,
2025-10-10 12:00:00,3994.27,3999.42,3993.42,3997.93,
2025-10-10 12:15:00,3997.92,4001.9,3995.77,4000.53,
2025-10-10 12:30:00,4000.52,4000.6,3994.51,3995.33,
2025-10-10 12:45:00,3995.16,3997.12,3989.68,3993.46,
2025-10-10 13:00:00,3993.45,3997.43,3989.55,3996.19,
2025-10-10 13:15:00,3996.17,4003.06,3995,4001.7,
2025-10-10 13:30:00,4001.7,4005.84,3997.7,4001.4,
2025-10-10 13:45:00,4001.4,4001.4,3986.15,3990.48,
2025-10-10 14:00:00,3990.47,3992.5,3981.52,3990.13,
2025-10-10 14:15:00,3990.13,3995.6,3987.75,3993.88,
2025-10-10 14:30:00,3993.76,3998,3990.86,3991.39,
2025-10-10 14:45:00,3991.4,4002.43,3990.23,3999.25,
2025-10-10 15:00:00,3999.25,4021.87,3998.53,4019.05,
2025-10-10 15:15:00,4018.53,4028.31,4013.6,4025.01,
2025-10-10 15:30:00,4024.93,4030,4013,4017.01,
2025-10-10 15:45:00,4017,4017,4005.69,4008.65,
2025-10-10 16:00:00,4008.5,4008.51,3992.25,4000.55,
2025-10-10 16:15:00,4000.56,4001.64,3988.24,3999.29,
2025-10-10 16:30:00,3999.29,4005.17,3997.41,3997.41,
2025-10-10 16:45:00,3997.41,3998.66,3992.15,3995.37,
2025-10-10 17:00:00,3995.38,3996.46,3987.32,3994.06,
2025-10-10 17:15:00,3994.06,3999.61,3994.05,3997.72,
2025-10-10 17:30:00,3997.71,4003.03,3992.01,4001.8,
2025-10-10 17:45:00,4001.8,4002,3994.31,4001.43,
2025-10-10 18:00:00,4001.43,4007.72,3996.09,4007.58,
2025-10-10 18:15:00,4007.58,4019.23,4007.57,4013.57,
2025-10-10 18:30:00,4013.57,4014.3,4005.63,4007.7,
2025-10-10 18:45:00,4007.71,4016.15,4007.71,4011.74,
2025-10-10 19:00:00,4011.74,4016.46,4008.76,4016.46,
2025-10-10 19:15:00,4016.62,4025.99,4014.7,4016.87,
2025-10-10 19:30:00,4016.87,4029.74,4016.29,4029.74,
2025-10-10 19:45:00,4029.74,4033,4022.87,4024.44,
2025-10-10 20:00:00,4024.43,4027.68,4018.34,4018.45,
2025-10-10 20:15:00,4018.45,4025,4018.44,4023.37,
2025-10-10 20:30:00,4023.35,4024.4,4017.39,4023.13,
2025-10-10 20:45:00,4023.12,4030.95,4016.86,4021.85,
2025-10-10 21:00:00,4021.85,4028.96,4010,4012.37,
2025-10-10 21:15:00,4012.36,4013.48,3600,3876.15,
